font_id,name_en,name_zh
1424860292635,AR TianNiuB5 UL,文鼎甜妞體_U
1424860398390,AR QiaoHeiB5 UL,文鼎俏黑體_U
1424860495216,AR XuKanTingLiuB5 HV,文鼎鬚勘亭流_H
1424860628260,AR PiaoChongB5 UL,文鼎瓢蟲體_U
1424860745132,AR TianXinB5 UL,文鼎甜心體_U
1424860799542,AR QinQinB5 UL,文鼎親親體_U
1424860907195,AR DuDuHouB5 UL,文鼎嘟嘟猴體_U
1424861055911,AR GuGuJiB5 UL,文鼎咕咕雞體_U
1424861132048,AR WangWangGouB5 UL,文鼎汪汪狗體_U
1424861773176,AR YuanQiZhuB5 UL,文鼎元氣豬_U
1424914137737,AR YuShuShuB5 UL,文鼎玉鼠鼠_U
1424914189058,AR QianKunNiuB5 UL,文鼎乾坤牛_U
1424914246606,AR XiaoXiaoHuB5 UL,文鼎笑笑虎_U
1424914311095,AR HitoTuB5 UL,文鼎喜多兔_U
1424931066968,AR MingB5 EB,文鼎明體_E
1424931255809,AR ShangHaiSongB5 LT,文鼎上海宋體_L
1424931322974,AR YuanB5 LT,文鼎圓體_L
1424931426446,AR YuanB5 EB,文鼎圓體_E
1424931545351,AR YuanB5 HV,文鼎圓體_H
1424931641189,AR YuanB5 UL,文鼎圓體_U
1424931729589,AR HeiB5 EB,文鼎黑體_E
1424931834789,AR HeiB5 HV,文鼎黑體_H
1424931975681,AR NewHeiB5 HV,文鼎新黑體_H
1424932081598,AR FangSongB5 LT,文鼎仿宋_L
1424932237172,AR StdSongB5 EB,文鼎標準宋體_E
1424932398830,AR XingKaiB5 LT,文鼎行楷_L
1424932705742,AR GangBiXingKaiB5 LT,文鼎鋼筆行楷_L
1424932858380,AR AquariusAB5 UL,文鼎水瓶座_U
1424932929447,AR PiscesAB5 UL,文鼎雙魚座_U
1426229062084,AR Dori Sans,AR Dori Sans
1426230337128,AR Dori Sans Black,AR Dori Sans Black
1426410476735,AR Dori Sans Bold,AR Dori Sans Bold
1426410606325,AR Dori Sans Demibold,AR Dori Sans Demibold
1426410774945,AR Dori Sans Extrabold,AR Dori Sans Extrabold
1426410915018,AR Dori Sans Extraheavy,AR Dori Sans Extraheavy
1426410979596,AR Dori Sans Heavy,AR Dori Sans Heavy
1426411045279,AR Dori Sans Light,AR Dori Sans Light
1426411103890,AR Dori Sans Ultra,AR Dori Sans Ultra
1426411196401,AR New Hebe Sans,AR New Hebe Sans
1426411361110,AR New Hebe Sans Black,AR New Hebe Sans Black
1426411536317,AR New Hebe Sans Bold,AR New Hebe Sans Bold
1426411663120,AR New Hebe Sans Demibold,AR New Hebe Sans Demibold
1426411782073,AR New Hebe Sans Extrabold,AR New Hebe Sans Extrabold
1426411928834,AR New Hebe Sans Extraheavy,AR New Hebe Sans Extraheavy
1426412039369,AR New Hebe Sans Heavy,AR New Hebe Sans Heavy
1426412093560,AR New Hebe Sans Light,AR New Hebe Sans Light
1426412157557,AR New Hebe Sans Ultra,AR New Hebe Sans Ultra
1431673943893,AR Brush1 Bold Italic,AR Brush1 Bold Italic
1431674056983,AR Silver Serif Monospace,AR Silver Serif Monospace
1431674117145,AR Silver Sans Monospace,AR Silver Sans Monospace
1431674178037,AR Gothic1 Euro Medium,AR Gothic1 Euro Medium
1431674218102,AR Roman2 Euro Black,AR Roman2 Euro Black
1431674259299,AR Slab1 Euro Medium,AR Slab1 Euro Medium
1431674295158,AR RGothic1 Euro Black,AR RGothic1 Euro Black
1431674327316,AR Roman1 Euro Heavy,AR Roman1 Euro Heavy
1431674366980,AR Fruda Sans-Flat,AR Fruda Sans-Flat
1431675023146,AR LaoShangHaiSongGB LT,文鼎老上海宋_L
1431675089031,AR FangSongGB MD,文鼎中仿宋
1431675322202,AR YunHeiGB BD,文鼎云黑体_B
1431675513335,AR KaiGB MD,文鼎中楷体
1431675591484,AR LiShuGB MD,文鼎中隶
1431675659083,AR ShangHaiSongGB MD,文鼎上海宋_M
1431675847227,AR XinYiGB UL,文鼎新艺体_U
1431676130255,AR ShangHaiSongGB BD,文鼎上海宋_B
1434425659599,AR ChiLunB5 MD,文鼎齒輪體_M
1434425928896,AR DiaoKeB5 BD,文鼎雕刻體_B
1434433801041,AR HuaBanB5 UL,文鼎花瓣體_U
1434433869057,AR HuZiB5 EB,文鼎鬍子體_E
1434433925104,AR JianGouB5 BD,文鼎賤狗體_B
1434436818010,AR NiuNiuB5 BD,文鼎妞妞體_B
1434437242276,AR ShuiGuanB5 BD,文鼎水管體_B
1434437820635,AR StoneB5 EB,文鼎石頭體_E
1434437867370,AR TanHuangB5 BD,文鼎彈簧體_B
1434437946698,AR XiangChangB5 BD,文鼎香腸體_B
1434437992760,AR XiaoSaB5 MD,文鼎瀟灑體_M
1434438616229,AR YanKaiGungB5 UL,文鼎顏楷九宮體_U
1434438645370,AR YanShuiB5 EB,文鼎淹水體_E
1434439153768,AR YuanLiB5 BD,文鼎圓立體_B
1434439201518,AR ZhuZiB5 MD,文鼎竹子體_M
1434439507034,AR FangSongB5S LT,文鼎仿宋简_L
1434440201112,AR HeiB5S BD,文鼎黑体简_B
1434440404956,AR KaiB5S MD,文鼎楷体简_M
1434440459831,AR LiShuB5S MD,文鼎隶书简_M
1434440494831,AR MingB5S BD,文鼎明体简_B
1434440538362,AR MingB5S HV,文鼎明体简_H
1434440582362,AR MingB5S MD,文鼎明体简_M
1434440623003,AR WeiBeiB5S BD,文鼎魏碑简_B
1434440665956,AR XingKaiB5S BD,文鼎行楷简_B
1434440696206,AR XingShuB5S MD,文鼎行书简_M
1434440743112,AR YuanB5S BD,文鼎圆体简_B
1434440776675,AR YuanB5S HV,文鼎圆体简_H
1434440978550,AR HeiU30 MD,文鼎黑體U30_M
1434441012846,AR LiShuU30 MD,文鼎隸書U30_M
1434441045096,AR MingU30 DB,文鼎明體U30_D
1434441085268,AR MingU30 LT,文鼎明體U30_L
1434441185800,AR StdKaiU30 MD,文鼎標準楷體U30_M
1434441231659,AR StdSongU30 MD,文鼎標準宋體U30_M
1434441592831,AR ACTION,AR ACTION
1434441768690,AR ADEPT,AR ADEPT
1434441787253,AR ADRIANA,AR ADRIANA
1434441834143,AR AILEEN,AR AILEEN
1434441863758,AR AKEEM,AR AKEEM
1434441881227,AR ALBERT,AR ALBERT
1434441896336,AR ALEXA,AR ALEXA
1434441930273,AR ALEXANDRA,AR ALEXANDRA
1434441951836,AR ALFONSO,AR ALFONSO
1434441980211,AR ALICE,AR ALICE
1434442000898,AR AMBER,AR AMBER
1434442032070,AR Brush1 Extrabold Italic,AR Brush1 Extrabold Italic
1434442065211,AR Brush1 Heavy Italic,AR Brush1 Heavy Italic
1434442273383,AR Brush3 Demibold,AR Brush3 Demibold
1434442293133,AR Brush3 Medium,AR Brush3 Medium
1434442329789,AR Brush4 Heavy,AR Brush4 Heavy
1434442348008,AR Brush4 Ultra,AR Brush4 Ultra
1434442359133,AR Brush5 Bold,AR Brush5 Bold
1434442480805,AR Gothic1 Bold,AR Gothic1 Bold
1434442499586,AR Gothic1 Extrabold,AR Gothic1 Extrabold
1434442513211,AR Gothic1 Heavy,AR Gothic1 Heavy
1434442527414,AR Gothic1 Light,AR Gothic1 Light
1434442617492,AR Gothic2 Ultra,AR Gothic2 Ultra
1434442654180,AR RGothic1 Bold,AR RGothic1 Bold
1434442676664,AR RGothic1 Extrabold,AR RGothic1 Extrabold
1434442694461,AR RGothic1 Heavy,AR RGothic1 Heavy
1434442708227,AR RGothic1 Light,AR RGothic1 Light
1434442757102,AR RGothic1 Ultra,AR RGothic1 Ultra
1434442778992,AR RGothic2 Ultra Outline,AR RGothic2 Ultra Outline
1434442792258,AR RGothic2 Ultra Stencil,AR RGothic2 Ultra Stencil
1434442827023,AR Roman1 Extrabold,AR Roman1 Extrabold
1434442846727,AR Roman1 FS Bold,AR Roman1 FS Bold
1434442860508,AR Roman1 FS Light,AR Roman1 FS Light
1434442880695,AR Roman1 FS Medium,AR Roman1 FS Medium
1434442892711,AR Roman1 Heavy,AR Roman1 Heavy
1434442904461,AR Roman1 Kai Bold,AR Roman1 Kai Bold
1434442919930,AR Roman1 Kai Light,AR Roman1 Kai Light
1434442931820,AR Roman1 Kai Medium,AR Roman1 Kai Medium
1434442953961,AR Roman1 Light,AR Roman1 Light
1434442971898,AR Roman1 Medium,AR Roman1 Medium
1434442990820,AR Roman1 SHS Light,AR Roman1 SHS Light
1434443004555,AR Roman2 Ultra,AR Roman2 Ultra
1434443254508,AR Script1 Bold,AR Script1 Bold
1434443281492,AR Script1 Light,AR Script1 Light
1434443294789,AR Script2 Medium,AR Script2 Medium
1434443329695,AR Script3 Bold,AR Script3 Bold
1434443412289,AR Script6 Bold,AR Script6 Bold
1434611677420,AR ShangHaiSongGB LT,文鼎上海宋_L
1434612101472,AR ShuLinSongGB BD,文鼎书林宋体_B
1434612267839,AR ShuLinSongGB HV,文鼎书林宋体_H
1434612323607,AR CaiYunGB UL,文鼎彩云_U
1434612431082,AR ChiLunGB MD,文鼎齿轮体_M
1434612532924,AR DiaoKeGB BD,文鼎雕刻体_B
1434612607360,AR FangSongGB BD,文鼎粗仿宋
1434612692059,AR FangSongGB LT,文鼎细仿宋
1434612753402,AR GangBiXingKaiGB BD,文鼎粗钢笔行楷
1434612844212,AR GangBiXingKaiGB EB,文鼎大钢笔行楷
1434612875330,AR GangBiXingKaiGB LT,文鼎细钢笔行楷
1434612913561,AR GangBiXingKaiGB MD,文鼎中钢笔行楷
1434613025942,AR GuangGaoGB BD,文鼎粗广告体
1434613060451,AR GuangGaoGB EB,文鼎大广告体
1434613296881,AR HaiBaoGB BD,文鼎海报体_B
1434613366229,AR HeiGB LT,文鼎黑体_L
1434613431415,AR HuaBanGB UL,文鼎花瓣体_U
1434613475506,AR HuoChaiGB BD,文鼎火柴体_B
1434613521734,AR HuPoGB UL,文鼎琥珀_U
1434613576485,AR HuZiGB EB,文鼎胡子体_E
1434613621594,AR JianGouGB BD,文鼎贱狗体_B
1434613657801,AR CrystalHeiGB BD,文鼎晶栩黑体_B
1434613695399,AR CrystalHeiGB DB,文鼎晶栩黑体_D
1434613727051,AR CrystalHeiGB MD,文鼎晶栩黑体_M
1434613772441,AR KanTingLiuGB BD,文鼎粗勘亭流体
1434613815896,AR KanTingLiuGB HV,文鼎特勘亭流体
1434613846679,AR KanTingLiuGB UL,文鼎特粗勘亭流体
1434613901181,AR MaoKaiGB BD,文鼎粗毛楷体
1434613946780,AR MaoKaiGB EB,文鼎大毛楷体
1434613979065,AR MaoKaiGB HV,文鼎特毛楷体
1434614158616,AR NiuNiuGB BD,文鼎妞妞体_B
1434614208138,AR PiLiGB UL,文鼎霹雳体_U
1434614455941,AR JingJiGB MD,文鼎荆棘体_M
1434614520537,AR Pop4GB BD,文鼎ＰＯＰ－４体_B
1434614575895,AR QianZiBiGB EB,文鼎大签字笔体
1434614640938,AR SheiDeZiGB MD,文鼎谁的字体_M
