Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
AR Gothic1 Light (Regular),AR Gothic1 Light,Regular,,,Version 2.10,ARPH,Regular,5 (Medium),300 (Light),2,98,256
AR Gothic1 Medium (Regular),AR Gothic1 Medium,Regular,,,Version 2.10,ARPH,Regular,5 (Medium),500 (Medium),2,98,256
AR Gothic2 Ultra (Regular),AR Gothic2 Ultra,Regular,,,Version 2.10,ARPH,Regular,5 (Medium),900 (Black),2,98,256
AR Gothic2 Ultra Distended (Regular),AR Gothic2 Ultra Distended,Regular,,,Version 2.10,ARPH,Regular,5 (Medium),900 (Black),2,98,256
AR GothicKR5 BD (Regular),AR GothicKR5 BD,Regular,AR GothicKR5,Bold,Version 2.80,ARPH,Regular,5 (Medium),700 (Bold),29,17146,17148
AR GothicKR5 MD (Regular),AR GothicKR5 MD,Regular,AR GothicKR5,Medium,Version 1.20,ARPH,Regular,5 (Medium),500 (Medium),27,12258,12260
AR GuangGaoB5 BD (Regular),AR GuangGaoB5 BD,Regular,AR GuangGaoB5,Bold,Version 1.00,ARPH,Regular,5 (Medium),700 (Bold),31,14266,14148
AR GuangGaoB5 EB (Regular),AR GuangGaoB5 EB,Regular,AR GuangGaoB5,Extra-bold,Version 1.00,ARPH,Regular,5 (Medium),800 (Extra-bold),31,14266,14148
AR GuangGaoB5 MD (Regular),AR GuangGaoB5 MD,Regular,AR GuangGaoB5,Medium,Version 1.00,ARPH,Regular,5 (Medium),500 (Medium),31,14266,14148
AR GuGuJiB5 UL (Regular),AR GuGuJiB5 UL,Regular,AR GuGuJiB5,Black,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14148
AR GuYinB5 BD (Regular),AR GuYinB5 BD,Regular,AR GuYinB5,Bold,Version 1.00,ARPH,Regular,5 (Medium),700 (Bold),31,14266,14148
AR HaiBaoB5 BD (Regular),AR HaiBaoB5 BD,Regular,AR HaiBaoB5,Bold,Version 1.00,ARPH,Regular,5 (Medium),700 (Bold),31,14266,14148
AR HappyLongB5 UL (Regular),AR HappyLongB5 UL,Regular,AR HappyLongB5,Black,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14148
AR Hebe Sans (Regular),AR Hebe Sans,Regular,,,Version 1.20,ARPH,Regular,5 (Medium),400 (Normal),12,762,763
AR Hebe Sans Demibold (Regular),AR Hebe Sans Demibold,Regular,,,Version 1.00,ARPH,Regular,5 (Medium),600 (Semi-bold),2,193,256
AR Hebe Sans Vi (Regular),AR Hebe Sans Vi,Regular,,,Version 1.00,ARPH,Regular,5 (Medium),400 (Normal),10,480,543
AR HeiB5 BD (Regular),AR HeiB5 BD,Regular,AR HeiB5,Bold,Version 1.00,ARPH,Regular,5 (Medium),700 (Bold),31,14266,14148
AR HeiB5 EB (Regular),AR HeiB5 EB,Regular,AR HeiB5,Extra-bold,Version 1.00,ARPH,Regular,5 (Medium),800 (Extra-bold),31,14266,14148
AR HeiB5 HV (Regular),AR HeiB5 HV,Regular,AR HeiB5,Heavy,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14148
AR HeiB5 LT (Regular),AR HeiB5 LT,Regular,AR HeiB5,Light,Version 1.00,ARPH,Regular,5 (Medium),300 (Light),31,14266,14148
AR HeiB5 MD (Regular),AR HeiB5 MD,Regular,AR HeiB5,Medium,Version 1.00,ARPH,Regular,5 (Medium),500 (Medium),31,14266,14148
AR HeiB5 UL (Regular),AR HeiB5 UL,Regular,AR HeiB5,Black,Version 1.10,ARPH,Regular,5 (Medium),900 (Black),31,14266,13992
AR HeiB5HK BD (Regular),AR HeiB5HK BD,Regular,AR HeiB5HK,Bold,Version 1.00,ARPH,Regular,5 (Medium),700 (Bold),42,20645,18638
AR HeiB5S BD (Regular),AR HeiB5S BD,Regular,AR HeiB5S,Bold,Version 1.00,ARPH,Regular,5 (Medium),700 (Bold),31,14266,14152
AR HeiU30 MD (Regular),AR HeiU30 MD,Regular,AR HeiU30,Medium,Version 1.00,ARPH,Regular,5 (Medium),500 (Medium),42,30267,29921
AR HERMANN (Regular),AR HERMANN,Regular,,,Version 2.00,ALTS,Regular,5 (Medium),5,8,217,218
